"date","currency","product","amount","client","country","VAT","address","payment","account"
"05/01/2018","EUR","Publicite chaine Youtube",273.02,"Google Ireland Limited","IRL","IE6388047V","Gordon House, Barrow Street, Dublin 4, Ireland",,"pro"
"12/01/2018","USD","Vente de formations jeu video",585.33,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"19/01/2018","USD","Vente de formations jeu video",487.31,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"23/01/2018","USD","Vente de formations jeu video",184.24,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"26/01/2018","USD","Vente de formations jeu video",509.9,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"02/02/2018","USD","Vente de formations jeu video",602.68,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"09/02/2018","USD","Vente de formations jeu video",873.6,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"16/02/2018","USD","Vente de formations jeu video",747.73,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"22/02/2018","EUR","Publicite chaine Youtube",201.27,"Google Ireland Limited","IRL","IE6388047V","Gordon House, Barrow Street, Dublin 4, Ireland",,"pro"
"23/02/2018","USD","Vente de formations jeu video",556.68,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"02/03/2018","USD","Vente de formations jeu video",563.95,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"09/03/2018","USD","Vente de formations jeu video",867.61,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"16/03/2018","USD","Vente de formations jeu video",572.81,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"22/03/2018","EUR","Publicite chaine Youtube",176.66,"Google Ireland Limited","IRL","IE6388047V","Gordon House, Barrow Street, Dublin 4, Ireland",,"pro"
"23/03/2018","USD","Vente de formations jeu video",455.43,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"30/03/2018","USD","Vente de formations jeu video",743.9,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"06/04/2018","USD","Vente de formations jeu video",919.69,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"13/04/2018","USD","Vente de formations jeu video",702.03,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"20/04/2018","USD","Vente de formations jeu video",692.39,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"24/04/2018","EUR","Publicite chaine Youtube",203.99,"Google Ireland Limited","IRL","IE6388047V","Gordon House, Barrow Street, Dublin 4, Ireland",,"pro"
"27/04/2018","USD","Vente de formations jeu video",463.77,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"04/05/2018","USD","Vente de formations jeu video",845.98,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"11/05/2018","USD","Vente de formations jeu video",765.12,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"18/05/2018","USD","Vente de formations jeu video",705.18,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"23/05/2018","EUR","Publicite chaine Youtube",215.39,"Google Ireland Limited","IRL","IE6388047V","Gordon House, Barrow Street, Dublin 4, Ireland",,"pro"
"25/05/2018","USD","Vente de formations jeu video",582.01,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"22/06/2018","EUR","Publicite chaine Youtube",233.64,"Google Ireland Limited","IRL","IE6388047V","Gordon House, Barrow Street, Dublin 4, Ireland",,"pro"
"01/06/2018","USD","Vente de formations jeu video",323.25,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"08/06/2018","USD","Vente de formations jeu video",561.98,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"15/06/2018","USD","Vente de formations jeu video",908.77,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"22/06/2018","USD","Vente de formations jeu video",777.9,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"29/06/2018","USD","Vente de formations jeu video",566.92,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"06/07/2018","USD","Vente de formations jeu video",510.3,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"13/07/2018","USD","Vente de formations jeu video",785.44,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"20/07/2018","USD","Vente de formations jeu video",490.21,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"24/07/2018","EUR","Publicite chaine Youtube",260.58,"Google Ireland Limited","IRL","IE6388047V","Gordon House, Barrow Street, Dublin 4, Ireland",,"pro"
"27/07/2018","USD","Vente de formations jeu video",619.87,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"03/08/2018","USD","Vente de formations jeu video",488.43,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"10/08/2018","USD","Vente de formations jeu video",719.49,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"17/08/2018","USD","Vente de formations jeu video",950.44,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"22/08/2018","EUR","Publicite chaine Youtube",209.58,"Google Ireland Limited","IRL","IE6388047V","Gordon House, Barrow Street, Dublin 4, Ireland",,"pro"
"24/08/2018","USD","Vente de formations jeu video",457.33,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"31/08/2018","USD","Vente de formations jeu video",476.67,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"07/09/2018","USD","Vente de formations jeu video",911.34,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
"14/09/2018","USD","Vente de formations jeu video",407.67,"Gumroad Inc","US",,"1640 17th St, San Francisco, CA 94107, United States",,"paypal"
